YEAR,AWARD,"CATEGORY
(EN SHORT)","FILM
(ORIGINAL TITLE)",F/D/A,RESULT,FILM ID
2024,MMD,BFF,Semmelweis,F,A,HU2023_001
2024,MMD,BFF,Hadik,F,N,HU2023_004
2024,MMD,BFF,Mesterjátszma,F,N,HU2023_011
2024,MMD,BFF,Valami madarak,F,N,HU2023_016
2024,MMD,BDF,A nemzet aranyai,D,A,HU2023_002
2024,MMD,BAF,Kojot négy lelke,A,A,HU2023_006
2023,MMD,BFF,Magasságok és mélységek,F,N,HU2022_008
2023,MMD,BFF,Hat hét,F,N,HU2023_009
2023,MMD,BFF,Blokád,F,A,HU2022_003
2023,MMD,BFF,Larry,F,N,HU2022_006
2023,MMD,BFF,Az almafa virága,F,N,HU2023_012
2023,MMD,BDF,Aki legyőzte az időt - Keleti Ágnes,D,N,HU2022_017
2023,MMD,BDF,A kinematográfus,D,N,HU2022_028
2023,MMD,BDF,Béke - A nemzetek felett,D,N,HU2022_011
2023,MMD,BAF,Műanyag égbolt,A,N,HU2023_010
2022,MMD,BFF,A feleségem története,F,N,HU2021_008
2022,MMD,BFF,A játszma,F,N,HU2022_007
2022,MMD,BFF,Külön falka,F,A,HU2021_011
2022,MMD,BFF,Az unoka,F,N,HU2021_004
2022,MMD,BFF,Magyar Passió,F,N,HU2021_009
2022,MMD,BDF,Bereményi kalapja,D,N,HU2022_014
2022,MMD,BDF,A bereki ember,D,N,HU2021_026
2021,MMD,BFF,Felkészülés meghatározatlan ideig tartó együttlétre,F,N,HU2020_004
2021,MMD,BFF,Toxikoma,F,N,HU2021_003
2021,MMD,BFF,Hab,F,N,HU2020_003
2021,MMD,BFF,Így vagy tökéletes,F,N,HU2021_010
2021,MMD,BFF,Hasadék,F,A,HU2021_020
2021,MMD,BDF,A mi Kodályunk,D,A,HU2020_008
2021,MMD,BDF,Vadlovak - Hortobágyi mese,D,N,HU2021_007
2021,MMD,BDF,Kövek,D,N,HU2021_025
2020,MMD,BFF,Akik maradtak,F,A,HU2019_004
2020,MMD,BFF,Apró mesék,F,N,HU2019_005
2020,MMD,BFF,Drakulics elvtárs,F,N,HU2019_003
2020,MMD,BFF,FOMO - Megosztod és uralkodsz,F,N,HU2019_006
2020,MMD,BFF,Valan - Az angyalok völgye,F,N,HU2019_007
2020,MMD,BDF,A báró hazatér,D,N,HU2018_026
2020,MMD,BDF,A fegyházlelkész,D,N,HU2019_023
2020,MMD,BDF,A létezés eufóriája,D,A,HU2019_016
2020,MMD,BDF,Emmi néni csodálatos élete,D,N,HU2019_024
2020,MMD,BDF,Lili,D,N,HU2019_025
2019,MMD,BFF,Rossz versek,F,A,HU2018_003
2019,MMD,BFF,BÚÉK,F,N,HU2018_002
2019,MMD,BFF,Egy nap,F,N,HU2018_009
2019,MMD,BFF,Remélem legközelebb sikerül meghalnod :),F,N,HU2018_010
2019,MMD,BFF,X - A rendszerből törölve,F,N,HU2018_007
2019,MMD,BAF,"Ruben Brandt, a gyűjtő",A,A,HU2018_005
2019,MMD,BAF,Lengemesék 2 – Tél a Nádtengeren,A,N,HU2018_013
2019,MMD,BDF,Gettó Balboa,D,A,HU2019_018
2018,MMD,BFF,Testről és lélekről,F,A,HU2017_004
2018,MMD,BFF,1945,F,N,HU2017_008
2018,MMD,BFF,Aurora Borealis: Északi fény,F,N,HU2017_006
