film_id,nat_title,film_genre
GB2022_030,Save the Cinema,MET
GB2022_030,Save the Cinema,BIO
GB2022_031,The Lady of Heaven,HIS
GB2022_031,The Lady of Heaven,WAR
GB2022_031,The Lady of Heaven,ACT
GB2022_031,The Lady of Heaven,DRA
GB2022_032,A Bunch of Amateurs,DOB
GB2022_032,A Bunch of Amateurs,DPA
GB2022_032,A Bunch of Amateurs,MET
GB2022_033,a-ha: True North,DPA
GB2022_033,a-ha: True North,DPE
GB2022_033,a-ha: True North,DPO
GB2022_033,a-ha: True North,MUS
GB2022_034,McEnroe,SPO
GB2022_034,McEnroe,DPA
GB2022_034,McEnroe,BIO
GB2022_035,The Fence,ACT
GB2022_035,The Fence,COM
GB2022_035,The Fence,DRA
GB2022_035,The Fence,COA
GB2022_036,Duran Duran: A Hollywood High,MUS
GB2022_036,Duran Duran: A Hollywood High,DPA
GB2022_037,Three Day Millionaire,HEI
GB2022_037,Three Day Millionaire,COM
GB2022_038,Rebel Dread,MUS
GB2022_038,Rebel Dread,BIO
GB2022_038,Rebel Dread,DPA
GB2022_039,She Will,MET
GB2022_039,She Will,HOR
GB2022_039,She Will,DRA
GB2022_040,Explorer,BIO
GB2022_040,Explorer,ADV
GB2022_040,Explorer,DPA
GB2022_040,Explorer,DEX
GB2022_041,Amulet,HOR
GB2022_041,Amulet,THR
GB2022_041,Amulet,FAN
GB2022_042,You Won't Be Alone,HOR
GB2022_042,You Won't Be Alone,FAN
GB2022_042,You Won't Be Alone,DRA
GB2022_043,Long Way Back,DRA
GB2022_043,Long Way Back,ROA
GB2022_044,Merkel,BIO
GB2022_044,Merkel,DEX
GB2022_045,The Hermit of Treig,DPA
GB2022_046,Doineann,DTH
GB2022_046,Doineann,NOI
GB2022_046,Doineann,DRA
GB2022_047,Boiling Point,DRA
GB2022_047,Boiling Point,THR
GB2022_048,Burial,WAR
GB2022_048,Burial,THR
GB2022_048,Burial,HOR
GB2022_049,Deus,SCI
GB2022_049,Deus,THR
GB2022_050,The Felling - an Epic Tale of People Power,DOB
GB2022_050,The Felling - an Epic Tale of People Power,DPA
GB2022_051,Munich: The Edge of War,HIS
GB2022_051,Munich: The Edge of War,WAR
GB2022_051,Munich: The Edge of War,SPY
GB2022_051,Munich: The Edge of War,THR
GB2022_052,Maisie,DPA
GB2022_052,Maisie,DOB
GB2022_053,The Score,HEI
GB2022_053,The Score,ACT
GB2022_053,The Score,ROM
GB2022_053,The Score,MUS
GB2022_053,The Score,THR
GB2022_054,McCurry: The Pursuit of Colour,DPA
GB2022_054,McCurry: The Pursuit of Colour,BIO
GB2022_055,Mind-Set,COM
GB2022_055,Mind-Set,DRA
GB2022_055,Mind-Set,ROM
GB2022_056,Gerry Anderson: A Life Uncharted,DPA
GB2022_056,Gerry Anderson: A Life Uncharted,BIO
GB2022_057,Future TX,SCI
GB2022_057,Future TX,ADV
GB2022_057,Future TX,CHI
GB2022_058,Give Them Wings,DRA
GB2022_058,Give Them Wings,BIO
GB2022_059,My Policeman,DRA
GB2022_059,My Policeman,ROM
GB2022_059,My Policeman,HIS
GB2022_060,Dùthchas,DPA
GB2022_061,Sideshow,COM
GB2022_061,Sideshow,HEI
GB2022_062,Followers,HOR
GB2022_062,Followers,COM
