film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2020_004,La boda de Rosa,ES2020_004_01,Sergi López,2,M,HE,WWE,MC,SE,AB,N
ES2020_004,La boda de Rosa,ES2020_004_02,Ramón Barea,3,M,HE,WWE,MC,RE,AB,N
ES2020_005,El plan,ES2020_005_01,Chema del Barco,2,M,,WWE,LM,UN,AB,N
ES2020_006,El inconveniente,ES2020_006_01,Kiti Mánver,4,F,HE,WWE,MC,RE,CI,N
ES2020_006,El inconveniente,ES2020_006_02,José Sacristán,4,M,HE,WWE,MC,RE,AB,N
ES2020_007,Orígenes secretos,ES2020_007_01,Antonio Resines,3,M,HE,WWE,MC,RE,AB,N
ES2020_008,Baby,ES2020_008_01,Harriet Sansom Harris,3,F,,WWE,UC,,AB,N
ES2020_008,Baby,ES2020_008_02,Charo López,4,F,,WWE,,,,
ES2020_009,El arte de volver,ES2020_009_01,Celso Bugallo,4,M,HE,WWE,MC,RE,CI,Y
ES2020_010,Nieva en Benidorm,ES2020_010_01,Timothy Spall,3,M,HE,WWE,MC,RE,AB,N
ES2020_010,Nieva en Benidorm,ES2020_010_02,Carmen Machi,2,F,HE,WWE,MC,EM,AB,N
ES2020_010,Nieva en Benidorm,ES2020_010_03,Pedro Casablanc,2,M,,WWE,MC,SE,AB,N
ES2020_012,Invisibles,ES2020_012_01,Emma Suárez,2,F,HE,WWE,MC,EM,AB,N
ES2020_012,Invisibles,ES2020_012_02,Adriana Ozores,2,F,HE,WWE,MC,,AB,N
ES2020_012,Invisibles,ES2020_012_03,Blanca Portillo,2,F,HE,WWE,MC,,AB,N
ES2020_012,Invisibles,ES2020_012_04,Pedro Casablanc,2,M,HE,WWE,MC,,AB,N
ES2020_013,La lista de los deseos,ES2020_013_01,Victoria Abril,3,F,,WWE,MC,,CI,N
ES2020_014,La suite nupcial,ES2020_014_01,Carlos Iglesias,2,M,HE,WWE,MC,EM,AB,N
ES2020_014,La suite nupcial,ES2020_014_02,José Mota,2,M,HE,WWE,MC,EM,AB,N
ES2020_014,La suite nupcial,ES2020_014_03,Santiago Segura,2,M,HE,WWE,MC,EM,AB,N
ES2020_014,La suite nupcial,ES2020_014_04,Ana Fernández,2,F,HE,WWE,MC,EM,AB,N
ES2020_014,La suite nupcial,ES2020_014_05,Roberto Álvarez,2,M,,WWE,MC,EM,AB,N
ES2020_015,La maldición del guapo,ES2020_015_01,Gonzalo de Castro,3,M,HE,WWE,UM,SE,AB,N
ES2020_015,La maldición del guapo,ES2020_015_02,Ginés García Millán,2,M,HE,WWE,UM,SE,AB,N
ES2020_015,La maldición del guapo,ES2020_015_03,Carlos Hipólito,3,M,HE,WWE,UM,,AB,N
ES2020_016,Ofrenda a la tormenta,ES2020_016_01,Imanol Arias,3,M,,WWE,UC,EM,AB,N
ES2020_016,Ofrenda a la tormenta,ES2020_016_02,Itziar Aizpuru,4,F,,WWE,MC,RE,AB,N
ES2020_016,Ofrenda a la tormenta,ES2020_016_03,Alicia Sánchez,4,F,HE,WWE,MC,RE,AB,N
ES2020_016,Ofrenda a la tormenta,ES2020_016_04,Ana Wagener,2,F,,WWE,MC,EM,AB,N
