person_id,person_name,person_nat
,Anne-Sophie Mutter,DE
,Anne Trabant-Haarbach,DE
,Annette Badland,UK
,Annette Bening,US
,Annette Mayer,DE
,Anne Zohra Berrached,DE
,Ann Firbank,IN
,Annick Alane,FR
,Annick Blancheteau,FR
,Annie Cordy,BE
,Annie Ernaux,FR
,Annie Girardot,FR
,Annie Grégorio,FR
,Annie Grégorio,FR
,Annie Mercier,FR
,Annie Noël,FR
,Annie Sprinkle,US
,Annika Blendl,DE
,Annika Pinske,DE
,Ann Ladiges,DE
,Ann Oren,DE
,Ann Queensberry,GB
,Anny Duperey,FR
,Anouk Aimée,FR
,Anouk Grinberg,FR
,Anselma Dell'Olio,IT
,Anselm Kiefer,DE
,Antal Cserna,HU
,Antal Leisen,HU
,Anthony Calf,UK
,Anthony Fabian,GB
,Anthony Head,GB
,Anthony Hopkins,GB
,Anthony Lawrence,US
,Anthony Marciano,FR
,Anthony Waller,GB
,Anthony Woodley,GB
,Antía Cal Vázquez,ES
,Antje Lewald,DE
,Antoine Barraud,FR
,Antoine Blossier,FR
,Antoine Bourseiller,FR
,Antoine Chappey,FR
,Antoine d'Agata,FR
,Antoine de Bary,FR
,Antoine de Caunes,FR
,Antoine de Maximy,FR
,Antoine Duléry,FR
,Antoine Page,FR
,Antoine Raimbault,FR
,Antoine Sire,FR
,Antoinette Boulat,FR
,Anton Claaßen,
,Anton Corbijn,NL
,Antonella Attili,IT
,Antonella Fulci,IT
,Antonella Morea,IT
,Antonella Ponziani,IT
,Antonello Belluco,IT
,Antonello Fassari,IT
,Antonello Grimaldi,IT
,Antonello Puglisi,IT
,Antón García Abril,ES
,Antongiulio Panizzi,IT
,Antonia Dell'Atte,IT
,Antonia San Juan,ES
,Antonia Singla,ES
,Antonia Traulsen,DE
,Antoni Miralda,ES
,Antoni Muntadas,ES
,Antonina Obrador,ES
,Antonina Rodrigo,ES
,Antonin Baudry,FR
,Antonin Krizsanics,HU
,Antonino Iuorio,IT
,Antonin Peretjatko,FR
,Antonio Abbate,IT
,Antonio Álamo,ES
,Antonio Albanese,IT
,Antonio Alveario,IT
,Antonio Arias,ES
,Antonio Banderas,ES
,Antonio Bido,IT
,Antonio Bigini,IT
,Antonio Buíl,ES
,Antonio Canales,ES
,Antonio Cantafora,IT
,Antonio Capuano,IT
,Antonio Catania,IT
,Antonio Citterio,IT
,António Cordeiro,PT
,Antonio Cuadri,ES
,Antonio Dechent,ES
,"Antonio Durán ""Morris""",ES
,Antonio Estrada,ES
,António Fonseca,PT
,Antonio Fraguas 'Forges',ES
,Antonio Gerardi,IT
,Antonio Guerriero,IT
,Antonio Hens,ES
,Antonio Jesús Rojas,ES
,Antonio Lobo,ES
,Antonio López,ES
,Antonio Manetti,IT
,Antonio Mayans,ES
,Antonio Méndez Esparza,ES
,Antonio Miguel Carmona,ES
,Antonio Muñoz Molina,ES
,Antonio Orlando,IT
,Antonio Padovan,IT
,Antonio Palacios,ES
,Antonio Pappano,GB
,Antonio Pennarella,IT
,Antonio Petrocelli,IT
,Antonio Piovanelli,IT
,Antonio Pisu,IT
,Antonio Resines,ES
,Antonio Rezza,IT
,Antonio Roma,IT
,Antonio Spoletini,IT
,Antonio Usbergo aka Younuts,IT
,Antonio Weinrichter,ES
,Antonio Wu,CN
,Antonio Zavatteri,IT
,Antoni P. Canet,ES
,Antonis Kafetzopoulos,GR
,Anton Rattinger,AT
,Anton von Heiseler,DE
,Antony Hickling,FR
,Antonythasan Jesuthasan,LK
,Antton Bastero,ES
,An Vrombaut,
,Anxos Fazáns,ES
,Arabella Weir,GB
,Arab Nasser,PS
,Arantxa Aguirre,ES
,Arantxa Echevarría,ES
,Archie Shepp,US
,Ariadna Gil,ES
,Ariane Ascaride,FR
,Arièle Semenoff,FR
,Ariella Reggio,IT
,Arielle Dombasle,FR
,Ariel Rot,AR
,Arie Tcherner,IL
,Arlette Thomas,FR
,Armand Assante,US
,Armand Éloi,BE
,Armando de Razza,IT
,Armando Ianucci,GB
,Armando Manzanero,MX
,Armin Rohde,DE
,Arnaud Desplechin,FR
,Arnaud Fournier Montgieux,FR
,Arnaud Larrieu,FR
,Arnaud Lemort,FR
,Arnaud Montebourg,FR
,Arnaud Tabarly,FR
,Arnaud Viard,FR
,Arnau Puig Grau,ES
,Arndt Ginzel,DE
,Arne Fuhrmann,DE
,Arne Körner,DE
,Arno Flemming,
,Arnold de Parscau,FR
,Arno Steffen,DE
,Arnulf Conradi,DE
,Aron Lehmann,DE
,Áron Őze,HU
,Árpád Bogdán,HU
,Árpád Némedi,HU
,Árpád Sopsits,HU
,Arsène Jiroyan,FR
,Arsène Wenger,FR
,Arslan Kodirov,UZ
,Arthur Albiston,GB
,Arthur Dreyfus,FR
,Arthur H,FR
,Arthur Harari,FR
,Arthur Holden,CA
,Artúr Kálid,HU
,Arturo Andújar,ES
,Arturo de Bobadilla,ES
,Arturo Dueñas Herrero,ES
,Arturo Fernández,ES
,Artus Maria Matthiessen,DE
,Arved Birnbaum,DE
,Asad Schwarz,DE
,Ascanio Petrini,IT
,Ascensión Orive,ES
,Asghar Farhadi,IR
,Asghar Semsarzade,IR
,Ashley Dowds,ZA
,Ashley Gunstock,GB
,Asia Bugajska,UA
,Asier Altuna,ES
,Asim Abbasi,GB
,Asim Abbasi,PK
,Aslı Özge,TR
,Assumpta Serna,ES
,Asteris Kutulas,DE
,Asteris Kutulas,GR
,Astrid Menzel,DE
,Astrid Polak,DE
,Astrid Rossa,DE
,Athina Papadimitriu,HU
,Atiq Rahimi,AF
,Attila Árpa,DE
,Attila Árpa,HU
,Attila Bocsárszky,HU
,Attila Bocsárszky,SK
,Attila Egyed,HU
,Attila Epres,HU
,Attila Hartung,HU
,Attila Magyar,HU
,Attila Menszátor-Héresz,HU
,Attila Mokos,HU
,Attila Mokos,SK
,Attila Szász,HU
,Aude Léa Rapin,FR
,Aude Pépin,FR
,Audrey Diwan,FR
,Audrey Estrougo,FR
,Audrey Gordon,FR
,Augusto Zucchi,IT
,August Zirner,AT
,August Zirner,US
,Auguszta Tóth,HU
,Aurel,FR
,Aurélia Georges,FR
,Aurelia Lăpuşan,RO
,Aurélien Recoing,FR
,Aurélien Vernhes-Lermusiaux,FR
,Aurélie Saada,FR
,Aurelio Grimaldi,IT
,Aurelio Toni Agliata,IT
,Aurel Tămaș,RO
,Aurora Quattrocchi,IT
,Aurore Clément,FR
,Autumn de Wilde,US
,Avelina Prat,ES
,Avénarius d'Ardronville,FR
,Axel Gottschick,DE
,Axel Hausch,DE
,Axel Milberg,DE
,Axel Prahl,DE
,Axel Ranisch,DE
,Axel Salvatori-Sinz,FR
,Axel Werner,DE
,Aylin Tezel,DE
,Azedine Ben,FR
,Babak Karimi,CZ
,Babett Arens,DE
,Bakary Sangaré,FR
,Balázs Galkó,HU
,Balázs Krasznahorkai,HU
,Balázs Lengyel,HU
,Balázs Lévai,HU
,Balázs Lóth,HU
,Balázs Mihályfi,HU
,Bálint Kenyeres,HU
,Bálint Nagy,HU
,Bálint Révész,HU
,Bania Medjbar,FR
,Baptiste Drapeau,FR
,Barbara Albert,AT
,Barbara Alberti,IT
,Barbara Auer,DE
,Barbara Bernt,DE
,Barbara Boncompagni,IT
,Barbara Bouchet,DE
,Barbara Brix,DE
,Barbara Kronenberg,DE
,Barbara Marten,GB
,Barbara Melzl,CH
,Barbara Ott,DE
,Barbara Peirson,GB
,Barbara Philipp,DE
,Bárbara Santos,BR
,Barbara Schnitzler,DE
,Barbara Sukowa,DE
,Barbara Wallbraun,DE
,Barbara Young,GB
,Barbet Schroeder,FR
,Barbet Schroeder,CH
,Barbu Silviu Tripăduș,RO
,Barnabás Tóth,FR
,Barnabás Tóth,HU
,Barnaby Thompson,GB
,Barney Douglas,GB
,Barny Murphy,DE
,Barry Adamson,GB
,Barry Hearn,GB
,Basile Carré-Agostini,FR
,Basile Doganis,FR
,Bassam Tariq,PK
,Bass Dhem,FR
,Bastien Simon,FR
,Beate Baumann,DE
,Béatrice Agenin,FR
,Beatrice Behn,DE
,Béatrice Camurat,FR
,Béatrice Dalle,FR
,Béatrice de Staël,FR
,Béatrice Michel,FR
,Beatrice Schiros,IT
,Beatrix Borchard,DE
,Bebo Storti,IT
,Beda Docampo Feijóo,ES
,Bee2,GB
,Beef,FR
,Bela B.,DE
,Béla Bagota,HU
,Béla Borsi-Kálmán,HU
,Béla Borsi-Kálmán,RO
,Béla Ficzere,HU
,Béla Gados,HU
,Béla Kósa,HU
,Béla Szemán,HU
,Béla Szerednyey,HU
,Belén Cruz,ES
,Belén Macías,ES
,Belén Rueda,ES
,Belén Verdugo,ES
,Ben Becker,DE
,Bence Gyöngyössy,HU
,Benedetta Barzini,IT
,Benedetta Buccellato,IT
