year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2018,BAFTA,BSAM,Woody Harrelson,N,1961,57,M,"Three Billboards Outside Ebbing, Missouri",GB2018_004,GB2018_004_02,
2018,BAFTA,BSAF,Kristin Scott Thomas,N,1960,58,F,Darkest Hour,GB2018_002,GB2018_002_02,
2018,BAFTA,BD,Christopher Nolan,N,1970,48,M,Dunkirk,GB2017_001,,
2018,BAFTA,BD,Martin McDonagh,N,1970,48,M,"Three Billboards Outside Ebbing, Missouri",GB2018_004,,
2017,BAFTA,BAFE,Meryl Streep,N,1949,68,F,Florence Foster Jenkins,GB2016_006,GB2016_006_01,
2017,BAFTA,BSAM,Hugh Grant,N,1960,57,M,Florence Foster Jenkins,GB2016_006,GB2016_006_02,
2017,BAFTA,BD,Ken Loach,N,1936,81,M,"I, Daniel Blake",GB2016_007,,
2016,BAFTA,BAFE,Maggie Smith,N,1934,82,F,The Lady in the Van,GB2015_004,GB2015_004_01,
2016,BAFTA,BSAF,Julie Walters,N,1950,66,F,Brooklyn,GB2015_006,GB2015_006_03,
2015,BAFTA,BD,James Marsh,N,1963,52,M,The Theory of Everything,GB2015_079,,
2014,EFA,BAM,Timothy Spall,A,1957,57,M,Mr. Turner,GB2014_001,GB2014_001_01,
2014,EFA,BD,Paolo Virzì,N,1964,50,M,Human Capital,IT2014_009,,
2015,EFA,BAM,Michael Caine,A,1933,82,M,Youth,IT2015_004,IT2015_004_01,
2015,EFA,BAM,Tom Courtenay,N,1937,78,M,45 Years,GB2015_009,GB2015_009_02,
2015,EFA,BAM,Christian Friedel,N,1979,36,M,13 Minutes,DE2015_035,,
2015,EFA,BAM,Vincent Lindon,N,1959,56,M,The Measure of a Man,FR2015_073,FR2015_073_01,
2015,EFA,BAFE,Charlotte Rampling,A,1946,69,F,45 Years,GB2015_009,GB2015_009_01,
2015,EFA,BD,Paolo Sorrentino,A,1970,45,M,Youth,IT2015_004,,
2015,EFA,BD,Nanni Moretti,N,1953,62,M,Mia Madre,IT2015_012,,
2015,EFA,BD,Sebastian Schipper,N,1968,47,M,Victoria,DE2015_062,,
2024,DF,BD,Timm Kröger,N,1985,39,M,Die Theorie von Allem,DE2023_097,,
2023,DF,BSAM,Karl Markovics,N,1963,60,M,Was man von hier aus sehen kann,DE2022_110,,
2023,DF,BSAF,Ulrike Kriener,N,1954,69,F,Einfach mal was schönes,DE2022_098,,
2023,DF,BSAF,Hildegard Schmahl,N,1940,83,F,Mittagsstunde,DE2022_073,,
2023,DF,BD,İlker Çatak,A,1984,39,M,Das Lehrerzimmer,DE2023_047,,
2023,DF,BD,Ali Abbasi,N,1981,42,M,Holy Spider,DE2023_001,,
2023,DF,BD,Sonja Heiss,N,1976,47,F,"Wann wird es endlich wieder so, wie es nie war",DE2023_019,,
2022,DF,BSAM,Henry Hübchen,N,1947,75,M,Stasikömodie,DE2022_032,,
2022,DF,BSAM,Jörg Schüttauf,N,1961,61,M,Lieber Thomas,DE2021_070,,
2022,DF,BD,Andreas Kleinert,A,1962,60,M,Lieber Thomas,DE2021_070,,
2022,DF,BD,Andreas Dresen,N,1963,59,M,Rabiye Kurnaz gegen George W. Bush,DE2022_025,,
2021,DF,BSAM,Thorsten Merten,A,1963,58,M,Curveball,DE2021_038,,
2021,DF,BSAM,Hary Prinz,N,1965,56,M,Enfant Terrible,DE2020_064,,
2021,DF,BD,Maria Schrader,A,1964,57,F,Ich bin dein Mensch,DE2021_008,,
2021,DF,BD,Dominik Graf,N,1952,69,F,Fabian oder Der Gang vor die Hunde,DE2021_020,,
2021,DF,BD,Maria Speth,N,1967,54,F,Herr Bachmann und Seine Klasse,DE2021_040,,
2020,DF,BSAF,Gabriela Maria Schmeide,A,1965,55,F,Systemsprenger,DE2019_081,,
2020,DF,BD,Nora Fingscheidt,A,1983,37,F,Systemsprenger,DE2019_081,,
2020,DF,BD,Burhan Qurbani,N,1980,40,M,Berlin Alexanderplatz,DE2020_040,,
2020,DF,BD,İlker Çatak,N,1984,36,M,Es gilt das gesprochene Wort,DE2019_066,,
2019,DF,BAM,Rainer Bock,N,1954,65,M,Atlas,DE2019_036,DE2019_036_01,
2019,DF,BSAM,Martin Wuttke,N,1962,57,M,Glück ist was für Weicheier,DE2019_007,DE2019_007_01,
2019,DF,BSAF,Margarethe Tiesel,N,1959,60,F,Der Goldene Handschuh,DE2019_011,,
2019,DF,BSAF,Eva Weißenborn,N,1954,65,F,Gundermann,DE2018_071,,
2019,DF,BD,Andreas Dresen,A,1963,56,M,Gundermann,DE2018_071,,
2019,DF,BD,Caroline Link,N,1964,55,F,Der Junge muss an die frische Luft,DE2018_115,,
2018,DF,BSAF,Corinna Kirchhoffoff,N,1958,60,F,Casting,DE2017_095,,
2018,DF,BD,Emily Atef,A,1973,45,F,3 Tage in Quiberon,DE2018_036,,
2018,DF,BD,Fatih Akin,N,1973,45,M,Aus dem Nichts,DE2017_103,,
2018,DF,BD,Valeska Grisebach,N,1968,50,F,Western,DE2017_074,,
2017,DF,BAM,Peter Simonischek,A,1946,71,M,Toni Erdmann,DE2016_072,DE2016_072_01,
2017,DF,BAM,Bruno Ganz,N,1941,76,M,In Zeiten des abnehmenden Lichts,DE2017_050,DE2017_050_01,
2017,DF,BSAM,Rainer Bock,N,1954,63,M,Einsamkeit und Sex und Mitleid,DE2017_037,DE2017_037_02,
2017,DF,BD,Maren Ade,A,1976,41,F,Toni Erdmann,DE2016_072,,
2017,DF,BD,Caroline Link,N,1964,53,F,24 Wochen,DE2016_091,,
2016,DF,BAM,Peter Kurth,A,1957,59,M,Herbert,DE2016_030,DE2016_030_01,
2016,DF,BAM,Burghart Klaußner,N,1949,67,M,Der Staat gegen Fritz Bauer,DE2015_094,DE2015_094_01,
2016,DF,BSAM,Michael Nyqvist,N,1960,56,M,Colonia,DE2016_020,,
2016,DF,BD,Lars Kraume,N,1973,43,M,Der Staat gegen Fritz Bauer,DE2015_094,,
2016,DF,BD,David Wnendt,N,1977,39,M,Er ist wieder da,DE2015_098,,
2016,DF,BD,Maria Schrader,N,1965,51,F,Vor der Morgenröte,DE2016_054,,
2015,DF,BSAM,Burghart Klaußner,N,1949,66,M,Elser,DE2015_035,,
2015,DF,BSAM,Gert Voss,N,1941,74,M,Im Labyrinth des Schweigens,DE2014_109,,
2015,DF,BD,Sebastian Schipper,A,1968,47,M,Victoria,DE2015_062,,
2015,DF,BD,Dominik Graf,N,1952,63,M,Die geliebten Schwestern,DE2014_065,,
