person_id,person_name,birth_year,death_year,gender
 ,Anne Canovas,1957,,F
,Anne Clark,1960,,F
 ,Anne Coesens,1966,,F
 ,Anne Consigny,1963,,F
,Anne Depétrini,1960,,F
 ,Anne Dorval,1960,,F
 ,Anne Fontaine,1959,,F
 ,Anne Giafferi,,,F
,Anne Gruwez,1956,,F
 ,Anne-Marie Philipe,1954,,F
,Anne-Marie Ponsot,1945,,F
,Anne-Sophie Mutter,1963,,F
,Annekathrin Bürger,1937,,F
,Annekatrin Hendel,1964,,F
,Annette Badland,1950,,F
 ,Anne Parillaud,1960,,F
,Anne Trabant-Haarbach,1949,,F
,Anne Zohra Berrached,1982,,F
,Anne-Kathrin Gummich,1964,,F
 ,Anne Kessler,1966,,F
,Anne Kidd,,,F
 ,Anne-Laure Daffis,,,F
 ,Anne Le Ny,1962,,F
 ,Anne-Lise Koehler,1970,,F
 ,Anne Loiret,1983,,F
 ,Anne Marev,1932,2019,F
,Anne Nissen,,,F
,Anne Osterloh,1965,,F
 ,Annette Bening,1958,,F
,Annette Mayer,1962,,F
 ,Annick Alane,1925,2019,F
 ,Annick Blancheteau,1946,,F
 ,Annie Cordy,1928,2020,F
 ,Annie Ernaux,1940,,F
 ,Annie Girardot,1931,2011,F
,Annie Grégorio,1957,,F
 ,Annie Grégorio,1957,,F
 ,Annie Mercier,,,F
 ,Annie Noël,1926,2009,F
,Annie Sprinkle,1954,,F
,Annika Blendl,1981,,F
,Annika Pinske,1982,,F
 ,Anny Duperey,1947,,F
 ,Anouk Aimée,1932,2024,F
 ,Anouk Grinberg,1963,,F
,Anselm Kiefer,1945,,M
 ,Anselma Dell'Olio,1941,,F
,Antal Cserna,1963,,M
,Antal Leisen,1947,2023,M
,Anthony Calf,1959,,M
,Anthony Fabian,,,M
,Anthony Head,1954,,M
,Anthony Hopkins,1937,,M
,Anthony Lawrence,1928,2024,M
 ,Anthony Marciano,1979,,M
,Anthony Waller,1959,,M
,Anthony Woodley,,,
,Antía Cal Vázquez,,,F
,Antje Lewald,1960,,F
 ,Antoine Barraud,1972,,M
,Antoine Blossier,,,M
 ,Antoine Bourseiller,1930,2013,M
 ,Antoine Chappey,1960,,M
 ,Antoine d'Agata,1961,,M
 ,Antoine de Bary,1990,,M
 ,Antoine de Caunes,1953,,M
 ,Antoine de Maximy,1959,,M
 ,Antoine Duléry,1959,,M
 ,Antoine Page,,,M
 ,Antoine Raimbault,,,M
 ,Antoine Sire,1960,,M
 ,Antoinette Boulat,,,F
,Anton Claaßen,1946,,M
,Anton Corbijn,1955,,M
,Antón García Abril,1933,2021,M
,Anton Rattinger,1951,,M
,Anton von Heiseler,1905,,M
 ,Antonella Attili,1963,,F
,Antonella Fulci,1960,,F
 ,Antonella Morea,1956,,F
 ,Antonella Ponziani,1964,,F
 ,Antonello Belluco,1956,,M
 ,Antonello Fassari,1952,,M
 ,Antonello Grimaldi,1955,,M
 ,Antonello Puglisi,1948,,M
 ,Antongiulio Panizzi,,,M
,Antoni Miralda,1942,,M
,Antoni Muntadas,1942,,M
,Antoni P. Canet,1953,,M
,Antonia Dell'Atte,1960,,F
,Antonia San Juan,1961,,F
,Antonia Singla,1948,,F
,Antonia Traulsen,,,F
 ,Antonin Peretjatko,1974,,M
,Antonina Obrador,,,F
,Antonina Rodrigo,1935,,F
 ,Antonin Baudry,1975,,M
,Antonin Krizsanics,1973,,M
 ,Antonino Iuorio,1963,,M
 ,Antonio Abbate,1997,,M
 ,Antonio Álamo,1964,,M
 ,Antonio Albanese,1964,,M
 ,Antonio Alveario,1963,,M
,Antonio Arias,1965,,M
 ,Antonio Banderas,1960,,M
 ,Antonio Bido,1949,,M
 ,Antonio Bigini,1980,,M
,Antonio Buíl,1964,,M
,Antonio Canales,1961,,M
 ,Antonio Cantafora,1944,2024,M
 ,Antonio Capuano,1940,,M
 ,Antonio Catania,1952,,M
 ,Antonio Citterio,1950,,M
 ,António Cordeiro,1959,,M
,Antonio Cuadri,1960,,M
 ,Antonio Dechent,1960,,M
 ,"Antonio Durán ""Morris""",1959,,M
,Antonio Estrada,1956,,M
,António Fonseca,1953,,M
 ,Antonio Fraguas 'Forges',1942,2018,M
 ,Antonio Gerardi,1968,,M
 ,Antonio Guerriero,1983,,M
 ,Antonio Hens,1969,,M
 ,Antonio Jesús Rojas,,,M
 ,Antonio Lobo,,,M
 ,Antonio López,1936,,M
 ,Antonio Manetti,1970,,M
 ,Antonio Mayans,1939,,M
,Antonio Méndez Esparza,1976,,M
,Antonio Miguel Carmona,1963,,M
 ,Antonio Muñoz Molina,1956,,M
 ,Antonio Orlando,1960,,M
 ,Antonio Padovan,1980,,M
,Antonio Palacios,,,M
,Antonio Pappano,1959,,M
 ,Antonio Pennarella,1960,2018,M
 ,Antonio Petrocelli,1953,,M
 ,Antonio Piovanelli,1940,,M
 ,Antonio Pisu,1984,,M
 ,Antonio Resines,1954,,M
 ,Antonio Rezza,1965,,M
 ,Antonio Roma,1932,,M
