year,award,category,film,f/d/a,result,film_id,,,,,,,,,,,,,,,,,,,
2021,CDC,BDF,La Cravate,D,N,,,,,,,,,,,,,,,,,,,,
2021,CDC,BDF,"Cyrille, agriculteur, 30 ans, 20 vaches, du lait, du beurre, des dettes",D,N,,,,,,,,,,,,,,,,,,,,
2021,CDC,BDF,Histoire d'un regard,D,N,,,,,,,,,,,,,,,,,,,,
2021,CDC,BDF,Un pays qui se tient sage,D,N,FR2020_076,,,,,,,,,,,,,,,,,,,
2021,CDC,BAF,Josep,A,A,FR2020_075,,,,,,,,,,,,,,,,,,,
2021,CDC,BAF,"Calamity, une enfance de Martha Jane Cannary",A,N,,,,,,,,,,,,,,,,,,,,
2021,CDC,BAF,Petit Vampire,A,N,FR2020_087,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,Les Misérables,F,A,,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,La Belle Époque,F,N,FR2019_181,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,Grâce à Dieu,F,N,FR2019_036,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,Hors normes,F,N,FR2019_174,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,J'accuse,F,N,FR2019_187,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,Portrait de la jeune fille en feu,F,N,,,,,,,,,,,,,,,,,,,,
2020,CDC,BF,"Roubaix, une lumière",F,N,,,,,,,,,,,,,,,,,,,,
2020,CDC,BDF,M,D,A,FR2019_057,,,,,,,,,,,,,,,,,,,
2020,CDC,BDF,"68, mon père et les clous",D,N,FR2019_083,,,,,,,,,,,,,,,,,,,
2020,CDC,BDF,La Cordillère des songes,D,N,FR2019_178,,,,,,,,,,,,,,,,,,,
2020,CDC,BDF,Lourdes,D,N,FR2019_086,,,,,,,,,,,,,,,,,,,
2020,CDC,BDF,"Wonder Boy, Olivier Rousteing, né sous X",D,N,,,,,,,,,,,,,,,,,,,,
2020,CDC,BAF,J'ai perdu mon corps,A,A,FR2019_182,,,,,,,,,,,,,,,,,,,
2020,CDC,BAF,La Fameuse Invasion des ours en Sicile,A,N,FR2019_167,,,,,,,,,,,,,,,,,,,
2020,CDC,BAF,Les Hirondelles de Kaboul,A,N,FR2019_147,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,Jusqu'à la garde,F,A,FR2018_018,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,La Douleur,F,N,FR2018_011,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,En liberté !,F,N,,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,Les Frères Sisters,F,N,FR2018_142,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,Le Grand Bain,F,N,FR2018_163,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,Guy,F,N,FR2018_134,,,,,,,,,,,,,,,,,,,
2019,CDC,BF,Pupille,F,N,FR2018_182,,,,,,,,,,,,,,,,,,,
2019,CDC,BDF,"Ni juge, ni soumise",D,A,FR2018_019,,,,,,,,,,,,,,,,,,,
2019,CDC,BDF,America,D,N,FR2018_045,,,,,,,,,,,,,,,,,,,
2019,CDC,BDF,De chaque instant,D,N,,,,,,,,,,,,,,,,,,,,
2019,CDC,BDF,Le Grand Bal,D,N,FR2018_165,,,,,,,,,,,,,,,,,,,
2019,CDC,BDF,Le Procès contre Mandela et les autres,D,N,,,,,,,,,,,,,,,,,,,,
2019,CDC,BAF,Dilili à Paris,A,A,FR2018_154,,,,,,,,,,,,,,,,,,,
2019,CDC,BAF,Astérix : Le Secret de la potion magique,A,N,FR2018_181,,,,,,,,,,,,,,,,,,,
2019,CDC,BAF,Pachamama,A,N,FR2018_188,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,120 battements par minute,F,A,,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Au revoir là-haut,F,N,FR2017_155,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Barbara,F,N,FR2017_126,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Le Brio,F,N,FR2017_179,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Patients,F,N,FR2017_037,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Petit Paysan,F,N,FR2017_123,,,,,,,,,,,,,,,,,,,
2018,CDC,BF,Le Sens de la fête,F,N,FR2017_141,,,,,,,,,,,,,,,,,,,
2018,CDC,BDF,I Am Not Your Negro,D,A,,,,,,,,,,,,,,,,,,,,
2018,CDC,BDF,12 jours,D,N,FR2017_185,,,,,,,,,,,,,,,,,,,
2018,CDC,BDF,À voix haute : La Force de la parole,D,N,,,,,,,,,,,,,,,,,,,,
2018,CDC,BDF,Carré 35,D,N,,,,,,,,,,,,,,,,,,,,
2018,CDC,BDF,"Visages, villages",D,N,FR2017_103,,,,,,,,,,,,,,,,,,,
2018,CDC,BAF,Le Grand Méchant Renard et autres contes…,A,A,FR2017_097,,,,,,,,,,,,,,,,,,,
2018,CDC,BAF,Sahara,A,N,FR2017_019,,,,,,,,,,,,,,,,,,,
2018,CDC,BAF,Zombillénium,A,N,FR2017_151,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Elle,F,A,FR2016_085,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Divines,F,N,,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Frantz,F,N,FR2016_126,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Les Innocentes,F,N,FR2016_021,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Ma Loute,F,N,FR2016_083,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Mal de pierres,F,N,FR2016_145,,,,,,,,,,,,,,,,,,,
2017,CDC,BF,Victoria,F,N,FR2016_129,,,,,,,,,,,,,,,,,,,
2017,CDC,BDF,Merci patron !,D,A,FR2016_030,,,,,,,,,,,,,,,,,,,
2017,CDC,BDF,Dernières Nouvelles du cosmos,D,N,,,,,,,,,,,,,,,,,,,,
2017,CDC,BDF,"Fuocoammare, par-delà Lampedusa",D,N,,,,,,,,,,,,,,,,,,,,
2017,CDC,BDF,Swagger,D,N,,,,,,,,,,,,,,,,,,,,
2017,CDC,BDF,Voyage à travers le cinéma français,D,N,FR2016_141,,,,,,,,,,,,,,,,,,,
2017,CDC,BAF,Ma vie de Courgette,A,A,,,,,,,,,,,,,,,,,,,,
2017,CDC,BAF,La Jeune Fille sans mains,A,N,FR2016_181,,,,,,,,,,,,,,,,,,,
2017,CDC,BAF,La Tortue rouge,A,N,,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Fatima,F,A,,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Dheepan,F,N,FR2015_110,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,La Loi du marché,F,N,FR2015_073,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Marguerite,F,N,FR2015_114,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Mon roi,F,N,FR2015_139,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Mustang,F,N,FR2015_083,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,La Tête haute,F,N,FR2015_071,,,,,,,,,,,,,,,,,,,
2016,CDC,BF,Trois souvenirs de ma jeunesse,F,N,FR2015_074,,,,,,,,,,,,,,,,,,,
2016,CDC,BDF,Demain,D,A,FR2015_166,,,,,,,,,,,,,,,,,,,
2016,CDC,BDF,Le Bouton de nacre,D,N,FR2015_145,,,,,,,,,,,,,,,,,,,
2016,CDC,BDF,"Cavanna jusqu'à l'ultime seconde, j'écrirai",D,N,FR2015_087,,,,,,,,,,,,,,,,,,,
2016,CDC,BDF,L'Image manquante,D,N,,,,,,,,,,,,,,,,,,,,
2016,CDC,BDF,Une jeunesse allemande,D,N,,,,,,,,,,,,,,,,,,,,
2016,CDC,BAF,Le Petit Prince,A,A,FR2015_102,,,,,,,,,,,,,,,,,,,
2016,CDC,BAF,Adama,A,N,FR2015_140,,,,,,,,,,,,,,,,,,,
2016,CDC,BAF,Avril et le Monde truqué,A,N,FR2015_150,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Timbuktu,F,A,,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Les Combattants,F,N,FR2014_110,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Eastern Boys,F,N,FR2014_052,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,La Famille Bélier,F,N,,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Saint Laurent,F,N,FR2014_127,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Hippocrate,F,N,FR2014_114,,,,,,,,,,,,,,,,,,,
2015,CDC,BF,Sils Maria,F,N,FR2014_111,,,,,,,,,,,,,,,,,,,
2015,CDC,BDF,Le Sel de la Terre,D,A,FR2014_138,,,,,,,,,,,,,,,,,,,
2015,CDC,BDF,Caricaturistes - Fantassins de la démocratie,D,N,FR2014_083,,,,,,,,,,,,,,,,,,,
2015,CDC,BDF,Les Chèvres de ma mère,D,N,FR2014_061,,,,,,,,,,,,,,,,,,,
2015,CDC,BDF,La Cour de Babel,D,N,,,,,,,,,,,,,,,,,,,,
2015,CDC,BDF,National Gallery,D,N,,,,,,,,,,,,,,,,,,,,
2015,CDC,BAF,Minuscule - La vallée des fourmis perdues,A,A,,,,,,,,,,,,,,,,,,,,
2015,CDC,BAF,Le Chant de la mer,A,N,,,,,,,,,,,,,,,,,,,,
2015,CDC,BAF,Jack et la Mécanique du cœur,A,N,FR2014_017,,,,,,,,,,,,,,,,,,,
