film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2022_029,Venus,ES2022_029_01,Magüi Mira,4,F,HE,WWE,UM,RE,AB,N
ES2022_030,Objetos,ES2022_030_01,Daniel Aráoz,3,M,HE,WLA,UM,SE,AB,N
ES2022_031,La piel del tambor,ES2022_031_01,Paul Guilfoyle,3,M,,WNA,UC,EM,AB,N
ES2022_031,La piel del tambor,ES2022_031_02,Paul Freeman,4,M,,WWE,UC,EM,AB,N
ES2022_031,La piel del tambor,ES2022_031_03,Franco Nero,4,M,,WWE,UC,EM,AB,N
ES2022_031,La piel del tambor,ES2022_031_04,Fionnula Flanagan,4,F,,WWE,UC,RE,AB,N
ES2022_032,Live Is Life,ES2022_032_01,Fernando Morán,3,M,HE,WWE,MC,RE,AB,N
ES2022_033,Vasil,ES2022_033_01,Karra Elejalde,3,M,HE,WWE,UM,RE,AB,N
ES2022_033,Vasil,ES2022_033_02,Susi Sánchez,3,F,HE,WWE,UM,SE,AB,N
ES2022_033,Vasil,ES2022_033_03,Sue Flack,2,F,HE,WWE,UM,SE,AB,N
ES2022_034,Girasoles silvestres,ES2022_034_01,Manolo Solo,2,M,HE,WWE,LM,,AB,N
ES2022_035,El mundo es vuestro,ES2022_035_01,Carlos Olalla,3,M,HE,WWE,UC,SE,AB,N
ES2022_035,El mundo es vuestro,ES2022_035_02,Pedro Álvarez-Ossorio,3,M,HE,WWE,UC,EM,AB,N
ES2022_035,El mundo es vuestro,ES2022_035_03,Xu Benguo,3,M,HE,EAS,UC,SE,AB,N
ES2022_036,No mires a los ojos,ES2022_036_01,Luisa Gavasa,3,F,,WWE,MC,,,N
ES2022_037,"Un año, una noche",ES2022_037_01,Bruno Todeschini,2,M,HE,WWE,MC,,,N
ES2022_037,"Un año, una noche",ES2022_037_02,Sophie Broustal,2,F,HE,WWE,MC,,,N
ES2022_038,Lobo Feroz,ES2022_038_01,Antonio Dechent,2,M,HE,WWE,MC,,AB,N
ES2022_038,Lobo Feroz,ES2022_038_02,Fernando Tejero,2,M,,WWE,MC,EM,AB,N
ES2022_039,Llegaron de noche,ES2022_039_01,Karra Elejalde,3,M,,WWE,MC,EM,AB,N
ES2022_039,Llegaron de noche,ES2022_039_02,Carmelo Gómez,2,M,,WLA,MC,EM,AB,N
ES2022_039,Llegaron de noche,ES2022_039_03,Francesc Albiol,3,M,,WWE,MC,,AB,N
ES2022_040,Todos lo hacen,ES2022_040_01,Pablo Carbonell,2,M,,WWE,MC,SE,AB,N
ES2022_041,La voluntaria,ES2022_041_01,Carmen Machi,2,F,HE,WWE,MC,RE,AB,N
ES2022_041,La voluntaria,ES2022_041_02,Giannis Tsortekis,2,M,HE,WWE,LM,,AB,N
ES2022_042,El vasco,ES2022_042_01,Eduardo Blanco,3,M,HE,WLA,MC,SE,AB,N
ES2022_042,El vasco,ES2022_042_02,Itziar Aizpuru,4,F,HE,WWE,MC,RE,PD,Y
ES2022_042,El vasco,ES2022_042_03,Francisco Nápoli,3,M,HE,WLA,MC,EM,AB,N
ES2022_044,La maniobra de la tortuga,ES2022_044_01,Carlos Manuel Díaz,3,M,HE,WWE,UM,EM,AB,N
ES2022_046,Petra de San José,ES2022_046_01,Emilio Linder,3,M,,WWE,UM,EM,AB,N
ES2022_046,Petra de San José,ES2022_046_02,Assumpta Serna,3,F,HE,WWE,UC,UN,AB,N
ES2022_046,Petra de San José,ES2022_046_03,Juan Lombardero,3,M,HE,WWE,LC,UN,AB,N
ES2022_047,La consagración de la primavera,ES2022_047_01,Emma Suárez,2,F,HE,WWE,MC,EM,AB,N
ES2022_048,El fred que crema,ES2022_048_01,Pedro Casablanc,2,M,HE,WWE,MC,,TD,Y
ES2022_049,"Espejo, Espejo",ES2022_049_01,Carlos Bardem,2,M,HE,WWE,UM,EM,AB,N
ES2022_049,"Espejo, Espejo",ES2022_049_02,Loles León,3,F,,WWE,UM,SE,AB,N
ES2022_049,"Espejo, Espejo",ES2022_049_03,Tito Valverde,3,M,HE,WWE,MC,RE,TD,Y
ES2022_049,"Espejo, Espejo",ES2022_049_04,Verónica Forqué,3,F,HE,WWE,UM,RE,AB,N
ES2022_050,75 días,ES2022_050_01,Ana Fernández,2,F,HE,WWE,LM,,AB,N
ES2022_050,75 días,ES2022_050_02,Antonia San Juan,3,F,HE,WWE,LM,,AB,N
ES2022_050,75 días,ES2022_050_03,Eulàlia Ramon,3,F,HE,WWE,LM,,AB,N
ES2022_051,La cima,ES2022_051_01,Blanca Apilánez,3,F,,WWE,,,,N
ES2022_051,La cima,ES2022_051_02,Kandido Uranga,3,M,,WWE,,,,N
ES2022_052,El comensal,ES2022_052_01,Ginés García Millán,2,M,HE,WWE,UM,EM,AB,N
ES2022_052,El comensal,ES2022_052_02,Adriana Ozores,3,F,HE,WWE,UM,UN,CI,Y
ES2022_052,El comensal,ES2022_052_03,Iñaki Miramón,3,M,HE,WWE,UM,EM,AB,N
ES2022_052,El comensal,ES2022_052_04,Ane Gabarain,2,F,,WWE,,,,N
ES2022_054,Sin ti no puedo,ES2022_054_01,Pedro Casablanc,2,M,HE,WWE,UM,EM,AB,N
ES2022_054,Sin ti no puedo,ES2022_054_02,Elena Irureta,3,F,HE,WWE,UM,,AB,N
ES2022_055,En otro lugar,ES2022_055_01,Mamen García,3,F,HE,WWE,MC,RE,AB,N
ES2022_055,En otro lugar,ES2022_055_02,Mario Pardo,4,M,HE,WWE,UM,RE,AB,N
ES2022_056,El universo de Óliver,ES2022_056_01,Pedro Casablanc,2,M,HE,WWE,LM,RE,AB,N
ES2022_057,Toscana,ES2022_057_01,Francesc Orella,3,M,HE,WWE,MC,SE,AB,N
ES2022_060,La jefa,ES2022_060_01,Pedro Casablanc,2,M,HE,WWE,UM,SE,AB,N
ES2022_061,O Corpo Aberto,ES2022_061_01,Miquel Insua,3,M,HE,WWE,MC,EM,AB,N
ES2022_063,En temporada baja,ES2022_063_01,Antonio Resines,3,M,HE,WWE,LC,UN,AB,N
ES2022_063,En temporada baja,ES2022_063_02,Rosana Pastor,3,F,HE,WWE,MC,,AB,N
ES2022_063,En temporada baja,ES2022_063_03,Jaime Pujol,3,M,HE,WWE,UM,,AB,N
ES2022_064,Rainbow,ES2022_064_01,Carmen Maura,3,F,,WWE,UM,,AB,N
ES2022_064,Rainbow,ES2022_064_02,Carmen Machi,2,F,,WWE,UM,,AB,N
ES2022_064,Rainbow,ES2022_064_03,Rossy de Palma,2,F,,WWE,,,AB,N
ES2022_064,Rainbow,ES2022_064_04,Carmina Barrios,3,F,,WWE,MC,,AB,N
ES2022_065,HollyBlood,ES2022_065_01,Jordi Sánchez,2,M,HE,WWE,MC,EM,AB,N
ES2022_065,HollyBlood,ES2022_065_02,Amparo Fernández,3,F,,WWE,MC,EM,AB,N
ES2022_066,La Piedad,ES2022_066_01,Ángela Molina,2,F,HE,WWE,UM,,AB,N
ES2022_066,La Piedad,ES2022_066_02,"Antonio Durán ""Morris""",2,M,HE,WWE,LM,,PD,Y
ES2022_066,La Piedad,ES2022_066_03,Daniel Freire,3,M,,,MC,EM,,N
ES2022_069,Sinjar,ES2022_069_01,Luisa Gavasa,3,F,HE,WWE,MC,RE,AB,N
ES2022_071,Mi vacío y yo,ES2022_071_01,Isabel Rocatti,3,F,,WWE,MC,EM,AB,N
ES2022_072,Jacinto,ES2022_072_01,Pilar Miguélez,3,F,HE,WWE,LM,SE,AB,N
ES2022_072,Jacinto,ES2022_072_02,Miro Magariños,3,M,HE,WWE,LM,SE,AB,N
ES2022_073,El que sabem,ES2022_073_01,Rosita Amores,4,F,,WWE,LM,RE,AB,N
ES2022_073,El que sabem,ES2022_073_02,Marga Castells,3,F,HE,WWE,LM,,AB,N
ES2022_074,La pasajera,ES2022_074_01,Ramiro Blas,2,M,HE,WLA,LM,SE,AB,N
ES2022_076,Edén,ES2022_076_01,Ramón Barea,3,M,HE,WWE,MC,RE,AB,N
ES2022_079,La paradoja de Antares,ES2022_079_01,Jaume de Sans,4,M,,WWE,,,,N
ES2022_081,Viejos,ES2022_081_01,Zorion Eguileor,3,M,HE,WWE,LM,RE,CI,Y
ES2022_081,Viejos,ES2022_081_02,Ángela López Gamonal,3,F,HE,WWE,LM,RE,AB,N
ES2022_082,El radioaficionado,ES2022_082_01,Peio Arnáez,3,M,,,,,,N
ES2022_091,Con los años que me quedan,ES2022_091_01,Antonia San Juan,3,F,HE,WWE,LM,,,N
ES2022_091,Con los años que me quedan,ES2022_091_02,Paco Tous,2,M,HE,WWE,LM,EM,AB,N
ES2022_091,Con los años que me quedan,ES2022_091_03,Enrique Villén,3,M,HE,WWE,MC,EM,AB,N
ES2022_095,Para entrar a vivir,ES2022_095_01,Luisa Gavasa,3,F,,WWE,MC,EM,AB,N
