film_id,nat_title,film_genre,,,,,,,,,,,,,,,,,,,,,,,
FR2021_095,La Fracture,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_095,La Fracture,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_096,Lui,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_096,Lui,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_097,Albatros,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e",COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e",ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e",DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e",MPF,,,,,,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_100,Pingouin et Goëland et leurs 500 petits,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_101,Si on chantait,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_101,Si on chantait,MUS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_102,A Good Man,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_102,A Good Man,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,MUS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,BIO,,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_104,Entre deux trains,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_105,Haute Couture,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_105,Haute Couture,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_106,Marcher sur l'eau,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_107,Partir?,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_108,Les Bodin's en Thaïlande,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_109,On est fait pour s'entendre,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_109,On est fait pour s'entendre,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_110,Oranges sanguines,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_111,Retourner à Sölöz,DPE,,,,,,,,,,,,,,,,,,,,,,,
FR2021_112,Bolante baten historia,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_113,De son vivant,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_114,Mon fils Malik,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_114,Mon fils Malik,ACT,,,,,,,,,,,,,,,,,,,,,,,
FR2021_114,Mon fils Malik,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_115,La Grande Aventure du Cirque Plume,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_116,La Pièce rapportée,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_117,Les Choses humaines,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_117,Les Choses humaines,COU,,,,,,,,,,,,,,,,,,,,,,,
FR2021_118,Maman pleut des cordes,CHI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_119,Les rêves ne meurent jamais,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_120,Au cœur du bois,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_120,Au cœur du bois,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_121,Les Tuche 4,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_122,Lingui,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_123,Rose,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_123,Rose,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_124,Une femme du monde,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_125,Ghahreman (Un héros),DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_125,Ghahreman (Un héros),THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_126,Mes très chers enfants,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_127,Mystère,CHI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_127,Mystère,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_128,Noël et sa mère,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_130,Mince alors 2!,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_131,Le Test,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_131,Le Test,COA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_132,Tromperie,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_132,Tromperie,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2022_002,Adieu Monsieur Haffmann,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_003,Jane par Charlotte,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_004,Le Cygne des héros,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_005,Ouistreham,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_006,Placés,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_007,Sans toi,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_008,Les Démons de Dorothy,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_009,"Eurídice, là-bas...",,,,,,,,,,,,,,,,,,,,,,,,
FR2022_010,Hors du monde,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_011,L'amour c'est mieux que la vie,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_012,La Place d'une autre,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_013,"Michael Cimino, un mirage américain",,,,,,,,,,,,,,,,,,,,,,,,
FR2022_014,Rumba la vie,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_015,Tendre et Saignant,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_016,Adieu Paris,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_017,Les Promesses,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_018,Presque,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_019,Une jeune fille qui va bien,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_020,Arthur Rambo,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_021,H6,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_022,Les Jeunes Amants,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_023,Les voisins de mes voisins sont mes voisins,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_024,Super-héros malgré lui,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_025,Enquête sur un scandale d'État,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_026,Golda Maria,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_027,L'Horizon,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_028,PS : La diPSarition?,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_029,Les Vedettes,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_030,Vous ne désirez que moi,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_031,After Blue (Paradis sale),,,,,,,,,,,,,,,,,,,,,,,,
FR2022_032,King,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_033,La Vraie Famille,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_034,Maison de retraite,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_035,Nous,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_036,Un autre monde,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_037,Compagnons,,,,,,,,,,,,,,,,,,,,,,,,
