film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2021_114,Mon fils Malik,,Thitia Marquez,THE,24/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_115,La Grande Aventure du Cirque Plume,,Antoine Page,THE,01/12/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_116,La Pièce rapportée,The Unsophisticated Lady,Antonin Peretjatko,THE,01/12/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_117,Les Choses humaines,The Accusation,Yvan Attal,THE,01/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_118,Maman pleut des cordes,Mum Is Pouring Rain,Hugo de Faucompret,THE,01/12/2021,A,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_119,Les rêves ne meurent jamais,,Sébastien Blemon,THE,05/12/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_120,Au cœur du bois,Ladies of the Wood,Claus Drexel,THE,08/12/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_121,Les Tuche 4,Christmas with the Tuche,Olivier Baroux,THE,08/12/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_122,"Lingui, les liens sacrés",Lingui: The Sacred Bonds,Mahamat-Saleh Haroun,THE,08/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_123,Rose,Rose,Aurélie Saada,THE,08/12/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_124,Une femme du monde,Her Way,Cécile Ducrocq,THE,08/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_125,Ghahreman (Un héros),A Hero,Asghar Farhadi,THE,15/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_126,Mes très chers enfants,Price of Parenting,Alexandra Leclère,THE,15/12/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_127,Mystère,Vicky and Her Mystery,Denis Imbert,THE,15/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_128,Noël et sa mère,Noël and His Mother,Arthur Dreyfus,THE,15/12/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,Madeleine Collins,Antoine Barraud,THE,22/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_130,Mince alors 2!,Bigger Is Beautiful,Charlotte de Turckheim,THE,22/12/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_131,Le Test,The Test,Emmanuel Poulain-Arnaud,THE,29/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_132,Tromperie,Deception,Arnaud Desplechin,THE,29/12/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,Dancing the Twist in Bamako,Robert Guédiguian,THE,05/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_002,Adieu Monsieur Haffmann,Farewell Mr Haffmann,Fred Cavayé,THE,12/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_003,Jane par Charlotte,Jany by Charlotte,Charlotte Gainsbourg,THE,12/01/2022,D,YES,,,,,,,,,,,,,,,,,,
FR2022_004,Le Cygne des héros,,Claude Saussereau,THE,12/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_005,Ouistreham,Between Two Worlds,Emmanuel Carrère,THE,12/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_006,Placés,The Road Ahead,Nessim Chikhaoui,THE,12/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_007,Sans toi,Astray,Sophie Guillemin,THE,12/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_008,"Eurídice, là-bas...","Eurídice, Far Away…",Susana Lastreto,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_009,Hors du monde,Out of the World,Marc Fouchard,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_010,L'amour c'est mieux que la vie,Love Is Better Than Life,Claude Lelouch,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_011,La Place d'une autre,Secret Name,Aurélia Georges,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_012,"Michael Cimino, un mirage américain",,Jean-Baptiste Thoret,THE,19/01/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_013,Rumba la vie,Rumba Therapy,Franck Dubosc,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_014,Tendre et Saignant,The Butcher's Daughter,Christopher Thompson,THE,19/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_015,Adieu Paris,Farewell Paris,Edouard Baer,THE,26/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_016,Les Promesses,Promises,Thomas Kruithof,THE,26/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_017,Presque,Beautiful Minds,"Bernard Campan, Alexandre Jollien",THE,26/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_018,Une jeune fille qui va bien,A Radiant Girl,Sandrine Kiberlain,THE,26/01/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_019,Arthur Rambo,Arthur Rambo,Laurent Cantet,THE,02/02/2022,F,,,,,,,,,,,,,,,,,,,
