person_id,person_name,person_nat,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Todeschini,CH,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bulle Ogier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Béatrice Dalle,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Béatrice de Staël,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Camille Ponsin,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carine May,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carine Tardieu,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carlo Brandt,CH,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carlo Buccirosso,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carmen Maura,ES,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carole Bouquet,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Carole Franck,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Breton,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Cellier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Silhol,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Allégret,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Arditi,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Corsini,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Deneuve,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Ferran,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Frot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Hiegel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Hosmalin,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Jacob,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Mouchet,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Rouvel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Salviat,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Samie,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Ladesou,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Lauby,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Neuwirth,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Aznavour,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Aznavour,AM,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Berling,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Dance,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charline Bourgeois-Tacquet,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte de Turckheim,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte Gainsbourg,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte Gainsbourg,GB,,,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte Rampling,GB,,,,,,,,,,,,,,,,,,,,,,,
TBD,Chloé Mazlo,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Chris Lomme,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Bouillette,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Bujeau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Carion,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Clavier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Duguay,CA,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Hecq,FR,,,,,,,,,,,,,,,,,,,,,,,
