person_id,person_name,birth_year,death_year,gender,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Mesguich,1952,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Pommereulle,1937,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Prévost,1939,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Arbid,1970,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Darrieux,1917,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Fichaud,1954,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Danièle Lebrun,1937,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Danièle Évenou,1943,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dany Boon,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dario Argento,1943,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Darry Cowl,1925,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dave,1944,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Ernaux-Briot,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Foenkinos,1974,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Mambouch,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Moreau,1976,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Strathairn,1949,,M,,,,,,,,,,,,,,,,,,,,,
TBD,David Teboul,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Imbert,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Lavant,1961,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Podalydès,1963,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Denise Chalem,1952,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Diastème,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dick Rivers,1945,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Barcelo,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bezace,1946,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bourdon,1959,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bénureau,1956,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier D. Daarwin,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Flamand,1947,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Sandre,1946,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dieudo Hamadi,1984,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominik Moll,1962,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Abel,1957,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Baumard,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Besnehard,1954,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Blanc,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Frot,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Labourier,1943,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Lavanant,1944,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Paturel,1931,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Pinon,1955,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Reymond,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Rozan,1929,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Sanda,1951,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Valadié,1952,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Zardi,1930,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Dora Doll,1922,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Eddy Mitchell,1942,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Elia Suleiman,1960,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Elina Löwensohn,1966,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Ellen Barkin,1954,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Elsa Wolliaston,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Elsa Zylberstein,1968,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emanuèle Bernheim,1955,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emilio Belmonte,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emily Atef,1973,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emir Kusturica,1954,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emma Benestan,1988,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Carrère,1957,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Courcol,1957,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Poulain-Arnaud,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Salinger,1964,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuelle Bercot,1967,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuelle Béart,1963,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuelle Devos,1964,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuelle Riva,1927,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuelle Seigner,1966,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Enrico Macias,1938,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Eriq Ebouaney,1967,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Ernest Borgnine,1917,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Esther Gorintin,1913,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Etienne Comar,1965,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Eva Darlan,1948,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Eva Ionesco,1965,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fabien Gorgeart,1976,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fabienne Babe,1962,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fabienne Berthaud,1966,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fabrice Bracq,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fabrice Garçon,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fabrice Luchini,1951,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fabrice Maruca,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fanny Ardant,1949,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fanny Cottençon,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fanny Liatard,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Farid Bentoumi,1976,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Farida Rahouadj,1965,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fatsah Bouyahmed,1971,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Fereshteh Sadre Orafaiy,1962,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Fiona Gordon,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Firmine Richard,1947,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Florence Miailhe,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Florence Thomassin,1966,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Florent Gouëlou,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Florian Hessique,1987,,M,,,,,,,,,,,,,,,,,,,,,
