film_id,nat_title,person_id,person_name,role_class,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,TBD,Denis Lavant,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,TBD,Issaka Sawadogo,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,TBD,Clémence Madeleine-Perdrillat,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,TBD,Nathaniel Hlimi,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,TBD,Frédéric Pierrot,VOI,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,TBD,Anne Alvaro,VOI,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,TBD,Mouloud Achour,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,TBD,Dominique Baumard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,TBD,Samy Naceri,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,TBD,Élie Semoun,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,TBD,Alejandro Jodorowsky,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L&apos;Origine du monde,TBD,Karin Viard,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L&apos;Origine du monde,TBD,Laurent Lafitte,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L&apos;Origine du monde,TBD,Hélène Vincent,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L&apos;Origine du monde,TBD,Nicole Garcia,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_067,La Ferme qui soigne - Agroécologie et médecines,TBD,Caroline Breton,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Charline Bourgeois-Tacquet,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Denis Podalydès,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Valeria Bruni Tedeschi,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Anne Canovas,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Bruno Todeschini,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d&apos;Anaïs,TBD,Grégoire Oestermann,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,TBD,Nicolas Cuche,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,TBD,Gérard Jugnot,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,TBD,François Morel,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,TBD,Franck Adrien,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,TBD,Giovanni Aloi,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,TBD,Andrea Barone,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,TBD,Marie Bunel,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,TBD,Didier Brice,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_071,"Là, où le temps s&apos;est arrêté",TBD,Christophe Tardy,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,François Ozon,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,André Dussollier,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Sophie Marceau,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Charlotte Rampling,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Éric Caravaca,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Hanna Schygulla,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Judith Magre,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Nathalie Richard,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Jacques Nolot,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s&apos;est bien passé,TBD,Daniel Mesguich,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,TBD,Samuel Benchetrit,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,TBD,Gustave Kervern,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,TBD,Bouli Lanners,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,TBD,Valeria Bruni Tedeschi,SUP,,,,,,,,,,,,,,,,,,,,,
