film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,,,,,,,,,,,,,,,
FR2021_047,C'est quoi ce papy?!,FR2021_047_02,Patrick Chesnais,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,FR2021_051_01,André Dussollier,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,FR2021_053_01,Karin Viard,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,FR2021_053_02,Carole Bouquet,2,F,HO,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,FR2021_053_03,Monica Bellucci,2,F,HO,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,FR2021_053_04,Denis Podalydès,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,FR2021_060_01,Kad Merad,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,FR2021_061_01,André Dussollier,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_066,L'Origine du monde,FR2021_066_01,Karin Viard,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,FR2021_068_01,Denis Podalydès,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,FR2021_068_02,Valeria Bruni Tedeschi,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,FR2021_069_01,Gérard Jugnot,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s'est bien passé,FR2021_072_01,André Dussollier,4,M,BI,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s'est bien passé,FR2021_072_02,Sophie Marceau,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,FR2021_073_01,Gustave Kervern,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,FR2021_073_02,Bouli Lanners,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,FR2021_075_01,Olivier Gourmet,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,FR2021_079_01,Salim Daw,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,FR2021_079_02,Hiam Abbass,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_081,Tralala,FR2021_081_01,Mathieu Amalric,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_084,L'Homme de la cave,FR2021_084_01,François Cluzet,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_091,Les Héroïques,FR2021_091_01,François Créton,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_095,La Fracture,FR2021_095_01,Valeria Bruni Tedeschi,2,F,HO,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,FR2021_103_01,Valérie Lemercier,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_105,Haute Couture,FR2021_105_01,Nathalie Baye,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_110,Oranges sanguines,FR2021_110_01,Denis Podalydès,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_113,De son vivant,FR2021_113_01,Catherine Deneuve,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_116,La Pièce rapportée,FR2021_116_01,Josiane Balasko,4,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_121,Les Tuche 4,FR2021_121_01,Isabelle Nanty,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_123,Rose,FR2021_123_01,Françoise Fabian,4,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_126,Mes très chers enfants,FR2021_126_01,Josiane Balasko,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_126,Mes très chers enfants,FR2021_126_01,Didier Bourdon,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_130,Mince alors 2!,FR2021_130_01,Charlotte de Turckheim,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_130,Mince alors 2!,FR2021_130_01,Catherine Hosmalin,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_132,Tromperie,FR2021_132_01,Denis Podalydès,2,M,HE,,,,,,,,,,,,,,,,,,,
ES2021_040,Dos,ES2021_040_01,Kandido Uranga,,,,,,,,,,,,,,,,,,,,,,
RO2021_003,,RO2021_003_01,Ovidiu Crișan ,2,M,HE,WEE,LM,EM,AB,,,,,,,,,,,,,,,
RO2021_003,,RO2021_003_02,Ion Sapdaru,2,M,HE,WEE,UC,EM,AB,,,,,,,,,,,,,,,
