id,type,slug,name,birthYear,deathYear,nationality,gender,character,director
Adrian Noble,Person,adrian-noble,Adrian Noble,1950,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Biopic', 'id': 'GB2019_014', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'gb2019-014-mrs-lowry-and-son', 'tags': 'low rank employment', 'title': {'english': '', 'native': 'Mrs Lowry and Son'}}]"
Adrian Păduraru,Person,adrian-paduraru,Adrian Păduraru,1960,0,Romania,Male identifying,,
Adrian Rawlins,Person,adrian-rawlins,Adrian Rawlins,1958,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,"[{'ability': 'Able-bodied', 'age': '2: Late Middle Age (55-60)', 'assistedMobility': 'No', 'class': 'Lower Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Dystopia', 'id': 'GB2021_034', 'production': {'country': 'Estonia', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2021}, 'slug': 'gb2021-034-undergods', 'tags': 'segregation', 'title': {'english': '', 'native': 'Undergods'}}, 'gender': 'Male identifying', 'id': 'GB2021_034_08', 'origin': 'White Western European', 'profession': 'Unknown', 'role': 'Unknown', 'sexuality': 'Heterosexual'}, {'ability': 'Unknown', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Unknown', 'film': {'filmType': 'Fiction film', 'genre': 'Romance', 'id': 'GB2021_044', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2011}, 'slug': 'gb2021-044-the-colour-room', 'tags': 'class conflict', 'title': {'english': '', 'native': 'The Colour Room'}}, 'gender': 'Male identifying', 'id': 'GB2021_044_04', 'origin': 'White Western European', 'profession': 'Unknown', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Adrian Shergold,Person,adrian-shergold,Adrian Shergold,1948,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Thriller', 'id': 'GB2020_025', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'gb2020-025-cordelia', 'tags': '', 'title': {'english': '', 'native': 'Cordelia'}}]"
Adrian Titieni,Person,adrian-titieni,Adrian Titieni,1963,0,Romania,Male identifying,"[{'ability': 'Able-bodied', 'age': '2: Late Middle Age (55-60)', 'assistedMobility': 'No', 'class': 'Upper Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'RO2021_016', 'production': {'country': 'Sweden', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2021}, 'slug': 'ro2021-016-tata-muta-muntii', 'tags': 'natural', 'title': {'english': 'The Father Who Moves Mountains', 'native': 'Tata mută munții'}}, 'gender': 'Male identifying', 'id': 'RO2021_016_01', 'origin': 'White Eastern European', 'profession': 'Retired', 'role': 'Leading actor', 'sexuality': 'Heterosexual'}]",
Adriana Altaras,Person,adriana-altaras,Adriana Altaras,1960,0,Costa Rica,Female identifying,,
Adriana Asti,Person,adriana-asti,Adriana Asti,1931,0,Italy,Female identifying,,
Adriana Ozores,Person,adriana-ozores,Adriana Ozores,1959,0,Spain,Female identifying,"[{'ability': 'Able-bodied', 'age': '2: Late Middle Age (55-60)', 'assistedMobility': 'No', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Romance', 'id': 'ES2020_012', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'es2020-012-invisibles', 'tags': 'body norms', 'title': {'english': 'The Invisible', 'native': 'Invisibles'}}, 'gender': 'Female identifying', 'id': 'ES2020_012_02', 'origin': 'White Western European', 'profession': 'Unknown', 'role': 'Unknown', 'sexuality': 'Heterosexual'}, {'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Lower Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Thriller', 'id': 'ES2023_054', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2023}, 'slug': 'es2023-054-ultimas-voluntades', 'tags': 'low rank employment', 'title': {'english': 'Last Wishes', 'native': 'Últimas voluntades'}}, 'gender': 'Female identifying', 'id': 'ES2023_054_02', 'origin': 'White Western European', 'profession': 'Employed', 'role': 'Unknown', 'sexuality': 'Heterosexual'}, {'ability': 'Chronic illness', 'age': '3: Third Age (60-75)', 'assistedMobility': 'Yes', 'class': 'Upper Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Thriller', 'id': 'ES2022_052', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'es2022-052-el-comensal', 'tags': 'professional politics', 'title': {'english': 'The Dinner Guest', 'native': 'El comensal'}}, 'gender': 'Female identifying', 'id': 'ES2022_052_02', 'origin': 'White Western European', 'profession': 'Unemployed', 'role': 'Unknown', 'sexuality': 'Heterosexual'}]",
Adriano Chiaramida,Person,adriano-chiaramida,Adriano Chiaramida,1941,0,Italy,Male identifying,,
Adriano Morelli,Person,adriano-morelli,Adriano Morelli,1985,0,Italy,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Anthology Films', 'id': 'IT2022_054', 'production': {'country': 'Italy', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'it2022-054-femminile-singolare', 'tags': 'gender discrimination', 'title': {'english': '', 'native': 'Femminile Singolare'}}]"
